Parameter,Criteria / Definition,Purpose for Risk Underwriting,Example Partner 1 (Top Tier Bank),Example Partner 2 (Mid-Tier NBFC),IDFC BANK,INDUSIND,ADITYA BIRLA,SHRIRAM FINANCE,UTKARSH,AXIS FINANCE,CHOLA,AXIS BANK,HDFC BANK,POONAWALA,INCRED,KOTAK,BAJAJ,L&T,BANDHAN,YES BANK,ICICI,PIRAMAL,FINNABLE,TATA CAPITAL,SMFG
Borrower Type,Must be Salaried / Non salaried acceptable,Primary loan segment focus.,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried
Age (Min),Minimum age at loan application date.,Legal capacity to contract.,24 Years,21 Years,23,21,23,22,23,21,23,23,22,22,23,21,23,23,21,21,22,21,21,22,21
Age (Max),Maximum age at loan maturity date.,Retirement/End of Earning potential.,58 Years,60 Years,28,58,61,58,59,55,60,56,58,55,60,60,55,58,60,60,58,60,55,55,55
Minimum Monthly Net Income (NMI),"Post-tax, verifiable take-home salary.",Capacity to afford EMI.,"₹40,000","₹25,000",20000,Listed 25k / unlisted 30k,40K ,25k,30k,40k,25K,35k,35k,30k,15k,35K,50k,35K,25K,25K,35,28K,20K,25K,25K
Own House Proof,Mandatory or not ,,Mandatory,Not Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
Rate of Interest,,,10.50%,11.50%,10.5,9.99,12.99,13,14,13.5,16,9.99,9.99,11.99,13.49,9.97,10.75,11.75,9.99,10.85,9.99,12.99,15,12.99,16
Non listed companies acceptable,,,Yes,No,No,yes,YES,yes,no,no,NO,no,no,no,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES
Organisation Type,Govt. / PSU / Private Limited / LLP,Classifies source of income stability.,PSU / Govt. / Top Pvt Ltd,Govt. / Listed Pvt Ltd,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited / LISTED LLP,Govt. / PSU / Private Limited / LISTED LLP
Company Classification,"Categorized based on rating (e.g., Cat A/B/C) or list (e.g., Listed Company).",Credit Policy Segmentation. Indicates job stability and low default risk.,CAT A (Listed Top 500),CAT B (Listed / Well-Known),,,,,,,,,,,,,,,,,,,,,
