Pincode,State,District,District V2,City,Zone,Type,Rank,SPOC,All Channels ( Salaried ),Embedded,DSA SENP L2
515001,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515002,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515003,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515004,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515005,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515101,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515110,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515122,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515123,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515124,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515133,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515134,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515144,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515154,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515159,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515164,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515201,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
515202,Andhra Pradesh,Ananthapur,Ananthapur,Ananthapur,South,EPL - New Locations,43,Amit Rai,Live,Live,Live
